SignatureTest.html                                                                                             Passed.
api/javasoft/sqe/tests/jakarta/mail/internet/MimeMessage/testlist.html#setDisposition_Test                     Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/MimeMessage/testlist.html#setFileNameEncoded_Test                 Failed.
api/javasoft/sqe/tests/jakarta/mail/internet/MimeMessage/testlist.html#setFrom_Test                            Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/MimeMessage/testlist.html#setSentDate_Test                        Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/internet/MimeMessage/testlist.html#setSubject_Test                         Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/MimeMessage/testlist.html#unicode_Test                            Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/internet/MimeMessage/testlist.html#updateHeaders_Test                      Failed.
api/javasoft/sqe/tests/jakarta/mail/internet/MimeMessage/testlist.html#updateMessageID_Test                    Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/MimeMessage/testlist.html#writeTo_Test                            Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/internet/MimeMultipart/testlist.html#MimeMultipart_Test                    Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/MimeMultipart/testlist.html#getBodyPart_Test                      Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/internet/MimeMultipart/testlist.html#getCount_Test                         Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/internet/MimeMultipart/testlist.html#getsetPreamble_Test                   Failed.
api/javasoft/sqe/tests/jakarta/mail/internet/MimeMultipart/testlist.html#initializeProperties_Test             Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/MimeMultipart/testlist.html#properties_Test                       Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/MimeMultipart/testlist.html#setSubType_Test                       Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/MimeMultipart/testlist.html#writeTo_Test                          Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/internet/MimePartDataSource/testlist.html#getContentType_Test              Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/internet/MimePartDataSource/testlist.html#getInputStream_Test              Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/internet/MimePartDataSource/testlist.html#getName_Test                     Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/internet/MimePartDataSource/testlist.html#getOutputStream_Test             Failed. exit code 1
api/javasoft/sqe/tests/jakarta/mail/internet/MimePartDataSource/testlist.html#mimePartDataSource_Test          Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/internet/MimeUtility/testlist.html#decodeText_Test                         Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/internet/MimeUtility/testlist.html#decodeWord_Test                         Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/MimeUtility/testlist.html#encodeText_Test                         Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/MimeUtility/testlist.html#encodeWord_Test                         Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/MimeUtility/testlist.html#foldUnfold_Test                         Failed.
api/javasoft/sqe/tests/jakarta/mail/internet/NewsAddress/testlist.html#equals_Test                             Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/NewsAddress/testlist.html#getHost_Test                            Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/NewsAddress/testlist.html#getNewsgroup_Test                       Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/NewsAddress/testlist.html#getType_Test                            Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/NewsAddress/testlist.html#newsAddress_Test                        Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/NewsAddress/testlist.html#parse_Test                              Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/NewsAddress/testlist.html#setHost_Test                            Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/NewsAddress/testlist.html#setNewsgroup_Test                       Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/NewsAddress/testlist.html#toString_Test                           Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/ParameterList/testlist.html#combineSegments_Test                  Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/ParameterList/testlist.html#encoded_default_Test                  Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/ParameterList/testlist.html#encoded_false_Test                    Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/ParameterList/testlist.html#encoded_true_Test                     Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/ParameterList/testlist.html#getNames_Test                         Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/ParameterList/testlist.html#get_Test                              Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/ParameterList/testlist.html#parameterList_Test                    Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/ParameterList/testlist.html#remove_Test                           Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/ParameterList/testlist.html#set_Test                              Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/ParameterList/testlist.html#set_withDecodeStrict_Test             Failed.
api/javasoft/sqe/tests/jakarta/mail/internet/ParameterList/testlist.html#size_Test                             Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/ParameterList/testlist.html#toString_Test                         Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/ParseException/testlist.html#parseException_Test                  Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/internet/PreencodedMimeBodyPart/testlist.html#PreencodedMimeBodyPart_Test  Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/search/AndTerm/testlist.html#andterm_Test                                  Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/search/BodyTerm/testlist.html#bodyterm_Test                                Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/search/FlagTerm/testlist.html#flagterm_Test                                Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/search/FromTerm/testlist.html#fromterm_Test                                Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/search/HeaderTerm/testlist.html#headerterm_Test                            Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/search/MessageIDTerm/testlist.html#messageidterm_Test                      Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/search/MessageNumberTerm/testlist.html#messagenumberterm_Test              Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/search/NotTerm/testlist.html#notterm_Test                                  Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/search/OrTerm/testlist.html#orterm_Test                                    Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/search/ReceivedDateTerm/testlist.html#receiveddateterm_Test                Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/search/SearchException/testlist.html#searchException_Test                  Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/search/SentDateTerm/testlist.html#sentdateterm_Test                        Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/search/SizeTerm/testlist.html#sizeterm_Test                                Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/search/SubjectTerm/testlist.html#subjectterm_Test                          Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/util/testlist.html#ByteArrayDataSource_Test                                Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/util/testlist.html#SharedByteArrayInputStream_Test                         Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/util/testlist.html#SharedFileInputStream_Test                              Passed. OKAY
