SignatureTest.html                                                                                             Passed.
api/javasoft/sqe/tests/jakarta/mail/Message/testlist.html#getFrom_Test                                         Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/Message/testlist.html#getHeader_Test                                       Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/Message/testlist.html#getInputStream_Test                                  Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/Message/testlist.html#getMatchingHeaders_Test                              Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/Message/testlist.html#getMessageNumber_Test                                Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/Message/testlist.html#getNonMatchingHeaders_Test                           Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/Message/testlist.html#getReceivedDate_Test                                 Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/Message/testlist.html#getReplyTo_Test                                      Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/Message/testlist.html#getSession_Test                                      Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Message/testlist.html#getSize_Test                                         Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/Message/testlist.html#getSubject_Test                                      Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/Message/testlist.html#isExpunged_Test                                      Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/Message/testlist.html#isSet_Test                                           Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/Message/testlist.html#match_Test                                           Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/Message/testlist.html#removeHeader_Test                                    Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Message/testlist.html#saveChanges_Test                                     Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Message/testlist.html#setDataHandler_Test                                  Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Message/testlist.html#setFileNameTest_encodeFalse_decodeTrue               Failed.
api/javasoft/sqe/tests/jakarta/mail/Message/testlist.html#setFileNameTest_encodeTrue_decodeFalse               Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Message/testlist.html#setFileName_Test                                     Failed.
api/javasoft/sqe/tests/jakarta/mail/Message/testlist.html#setFlag_Test                                         Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Message/testlist.html#setFrom_Test                                         Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Message/testlist.html#setHeader_Test                                       Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Message/testlist.html#setRecipients_Test                                   Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Message/testlist.html#setReplyTo_Test                                      Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Message/testlist.html#setSubject_Test                                      Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Multipart/testlist.html#addBodyPart1_Test                                  Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Multipart/testlist.html#addBodyPart2_Test                                  Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Multipart/testlist.html#getBodyPart_Test                                   Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/Multipart/testlist.html#getContentType_Test                                Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/Multipart/testlist.html#getCount_Test                                      Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/Multipart/testlist.html#removeBodyPart1_Test                               Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Multipart/testlist.html#removeBodyPart2_Test                               Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Multipart/testlist.html#writeTo_Test                                       Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/PasswordAuthentication/testlist.html#getPassword_Test                      Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/PasswordAuthentication/testlist.html#getUserName_Test                      Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/PasswordAuthentication/testlist.html#passwdAuthen_Test                     Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Provider/testlist.html#getClassName_Test                                   Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Provider/testlist.html#getProtocol_Test                                    Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Provider/testlist.html#getType_Test                                        Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Provider/testlist.html#getVendor_Test                                      Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Provider/testlist.html#getVersion_Test                                     Passed. OKAY
